   0.1314390     -0.4038722E-01
   0.1413077     -0.4089142E-01
   0.1513569     -0.4131667E-01
   0.1615568     -0.4166664E-01
   0.1718835     -0.4194550E-01
   0.1823181     -0.4215761E-01
   0.1928456     -0.4230739E-01
   0.2034539     -0.4239912E-01
   0.2141334     -0.4243695E-01
   0.2248760     -0.4242484E-01
   0.2356752     -0.4236654E-01
   0.2465256     -0.4226559E-01
   0.2574225     -0.4212533E-01
   0.2683618     -0.4194893E-01
   0.2793402     -0.4173937E-01
   0.2903545     -0.4149948E-01
   0.3014021     -0.4123191E-01
   0.3124804     -0.4093919E-01
   0.3235870     -0.4062374E-01
   0.3347194     -0.4028784E-01
   0.3458750     -0.3993367E-01
   0.3570503     -0.3956336E-01
   0.3682414     -0.3917894E-01
   0.3794415     -0.3878254E-01
   0.3906430     -0.3837596E-01
   0.4018269     -0.3796181E-01
   0.4129806     -0.3753061E-01
   0.4241225     -0.3707754E-01
   0.4352629     -0.3660347E-01
   0.4464075     -0.3610949E-01
   0.4575596     -0.3559667E-01
   0.4687209     -0.3506606E-01
   0.4798922     -0.3451870E-01
   0.4910738     -0.3395560E-01
   0.5022655     -0.3337773E-01
   0.5134670     -0.3278602E-01
   0.5246781     -0.3218137E-01
   0.5358984     -0.3156462E-01
   0.5471273     -0.3093659E-01
   0.5583643     -0.3029805E-01
   0.5696092     -0.2964971E-01
   0.5808613     -0.2899228E-01
   0.5921203     -0.2832640E-01
   0.6033857     -0.2765268E-01
   0.6146571     -0.2697170E-01
   0.6259341     -0.2628400E-01
   0.6372162     -0.2559007E-01
   0.6485030     -0.2489038E-01
   0.6597941     -0.2418535E-01
   0.6710892     -0.2347539E-01
   0.6823879     -0.2276085E-01
   0.6936896     -0.2204206E-01
   0.7049942     -0.2131932E-01
   0.7163011     -0.2059287E-01
   0.7276101     -0.1986295E-01
   0.7389207     -0.1912976E-01
   0.7502325     -0.1839346E-01
   0.7615452     -0.1765417E-01
   0.7728583     -0.1691201E-01
   0.7841714     -0.1616705E-01
   0.7954842     -0.1541933E-01
   0.8067959     -0.1466887E-01
   0.8181060     -0.1391568E-01
   0.8294136     -0.1315974E-01
   0.8407174     -0.1240103E-01
   0.8520157     -0.1163954E-01
   0.8633056     -0.1087530E-01
   0.8745828     -0.1010844E-01
   0.8858400     -0.9339232E-02
   0.8970658     -0.8568256E-02
   0.9082414     -0.7796575E-02
   0.9193365     -0.7026054E-02
   0.9303038     -0.6259805E-02
   0.9410713     -0.5502743E-02
   0.9515362     -0.4762117E-02
   0.9615640     -0.4047631E-02
   0.9710019     -0.3370633E-02
   0.9797065     -0.2742087E-02
   0.9875796     -0.2169965E-02
   0.9945901     -0.1657499E-02
    1.000000     -0.1260000E-02
